id,novelty,rigor,evidence,reproducibility,clarity,significance,overall,verdict,note
R01,4,4,3,4,5,5,5,major-revision,RAG+rules edu chatbot on Qwen-14B; plausible design but abstract gives no quantitative evaluation or user study.
R02,4,3,2,2,4,4,4,reject,"Energy-based sampling idea never substantiated: no datasets, baselines, or numbers; reads as an unvalidated proposal."
R03,5,5,6,5,6,6,6,major-revision,"Phi-3 Vision CXR fine-tune with clear gains (0.97 acc vs 0.71-0.90 baselines); needs dataset size, class imbalance and external-validation detail."
R04,5,6,6,5,6,6,6,major-revision,"Solid small-scale EEG 4-class OSA decoding (84%, balanced metrics) with sensible feature selection; limited generalization evidence."
R05,5,4,5,4,5,5,5,major-revision,74.2 mIoU vs WeakTR ~34 gap is implausibly large; baseline configs likely mismatched - comparisons must be re-run under one protocol.
R06,3,2,2,2,5,4,4,reject,"CRM/RPA position paper built on literature analysis; no system, experiment, or measurable retention outcome."
R07,6,6,6,5,6,6,6,major-revision,"Clean, targeted fix (RW bisection) to DF-Louvain community fragmentation; synthetic+real evidence, but no runtime overhead quantified."
R08,6,6,6,5,6,6,6,major-revision,NES-guided CamoPatch is a sensible query-efficient upgrade; report query budgets and head-to-head cost vs fixed-step baseline.
R09,5,4,4,5,6,5,5,major-revision,LLM-as-judge ensemble (CELEST) inherits circularity; needs human-expert anchored scores to support validity claims.
R10,4,5,5,5,6,5,5,major-revision,STFT+hybrid-attention transformer in a crowded space; ablations claimed but point-adjust F1 inflation caveat unaddressed.
R11,5,5,6,4,5,5,5,major-revision,Stacked multimodal crypto classifier with useful selective-prediction analysis; must rule out lookahead/survivorship bias in windowing.
R12,5,5,4,4,5,6,5,major-revision,"Well-integrated coaxial UAV SAR platform (Jetson, 40 FPS); abstract lacks detection accuracy at the stated 10 m / <3% object-size regime."
R13,3,4,5,4,5,4,4,reject,"Standard YOLOv5+IoT integration; 90% LPR is modest, 99.5% slot detection likely on easy closed-set data."
R14,4,6,6,5,6,4,5,major-revision,Careful validated RANS study of restricted-condition aerodynamics; methodologically routine and off the ML mainstream.
R15,4,4,5,3,6,5,5,major-revision,Hybrid-RAG enterprise agent with strong claimed nDCG@5 but unnamed corpus/queries; irreproducible as described.
R16,3,5,5,4,5,4,4,reject,TF-IDF + four classic classifiers on Spark is a lab exercise; LR-beats-the-rest outcome is unsurprising.
R17,5,4,4,4,5,5,5,major-revision,GraphRAG for Vietnamese product reviews is a reasonable application; ROUGE alone cannot support the factuality/hallucination claims.
R18,4,5,5,5,6,5,5,major-revision,"MAE+CoAtNet ensemble with SaliencyMix/ASL/DE weights; AUROC 0.8669 is below published ChestX-ray14 SOTA, module-stacking novelty."
R19,4,5,5,4,5,5,5,major-revision,DINOv2-KD Faster R-CNN gives +6.2 mAP on an 836-image bespoke dataset; small private data limits external validity.
R20,6,5,4,5,6,5,5,major-revision,Distance-correlation multi-stakeholder fairness is a nice formal angle; single MovieLens-1M evaluation undercuts generality.
R21,6,6,6,5,5,7,6,major-revision,"Massively parallel UE/gNB emulator that actually surfaced Free5GC/Open5GS vulnerabilities; quantify scale, KPIs, and bug classes."
R22,5,6,5,5,6,5,5,major-revision,"Focused, correct analysis (PAM preserves anti-blockage MWHCDM, PSK does not); simulation-only and narrow."
R23,4,5,5,4,5,4,5,major-revision,AdaGrad-style RIS phase optimization with custom target; numerical-only results in a heavily studied problem space.
R24,4,5,5,3,6,5,5,major-revision,Single-stage 5-class driver monitoring at 94.87% on CPU with honest error analysis; in-house dataset blocks comparison.
R25,6,6,6,6,6,7,6,major-revision,First synchronized Vietnamese trimodal benchmark with kappa reporting and missing-modality ablations; 0.934 Macro-F1 warrants scrutiny.
