id,is_ours,doi,n_chars,title
R01,False,10.1109/rivf68649.2025.11365126,959,A Customized AI Chatbot for Educational Environments: Integrating Retrieval-Augmented Generation with Curriculum-Aligned Responses
R02,False,10.1109/rivf68649.2025.11365058,960,Energy-Based Pattern-Inspired Sampling for Motion Analysis
R03,False,10.1109/rivf68649.2025.11365036,1470,Classifying Pulmonary Diseases Using Small Multimodal Model on X-Ray Images and Reports
R04,False,10.1109/rivf68649.2025.11365260,907,EEG-Based Brain-Computer Interface for Directional Control Using Machine Learning on Overt Spatial Attention
R05,False,10.1109/rivf68649.2025.11365120,1143,WeakSegFormer: A Transformer-Based Weakly Supervised Framework for Brain Tumor MRI Segmentation
R06,False,10.1109/rivf68649.2025.11365188,977,A Segment-Based CRM System With High Personalization Using AI Agents and RPA to Enhance Customer Lifetime Value in E-Commerce
R07,False,10.1109/rivf68649.2025.11365046,895,Improving the DF-Louvain Algorithm Through Random Walk-Based Refinement
R08,False,10.1109/rivf68649.2025.11365242,1355,Natural Evolution Strategy for Camouflaged Adversarial Patches
R09,False,10.1109/rivf68649.2025.11365100,1344,Can LLMs Construct Valid Syllabi? Vietnamese High School Math Case Study
R10,False,10.1109/rivf68649.2025.11365147,1145,Advancing Time Series Anomaly Detection Using Transformer-Based Models
R11,False,10.1109/rivf68649.2025.11365170,1410,Multimodal Deep Learning for Cryptocurrency Trend Prediction via Candlestick Charts and Technical Indicators
R12,False,10.1109/rivf68649.2025.11365235,1599,Remote Sensing-Based Human Detection Using a Custom-Built Coaxial UAV System
R13,False,10.1109/rivf68649.2025.11365041,1062,YOLOv5-Powered Smart Parking System with IoT-Based Real-Time Slot Monitoring
R14,False,10.1109/rivf68649.2025.11365203,1296,CFD-Based Analysis of Car Aerodynamic Performances under Restricted Operating Conditions
R15,False,10.1109/rivf68649.2025.11365175,636,From Keywords to Context: An AI Agent for Natural Language Document Lookup in the Enterprise
R16,False,10.1109/rivf68649.2025.11365110,1259,Machine Learning-Based News Classification in Big Data Environments
R17,False,10.1109/rivf68649.2025.11365128,1025,DoraReviewer: Vietnamese Virtual Reviewer with GraphRAG and LLM
R18,False,10.1109/rivf68649.2025.11365223,1209,Enhancing Chest Radiograph Classification via a Dual-Model Ensemble
R19,False,10.1109/rivf68649.2025.11365135,1189,Detecting “Nine-Dash Line” Images in Digital Content via Faster R-CNN and DINOv2-Based Knowledge Distillation
R20,False,10.1109/rivf68649.2025.11365194,786,Multi-Stakeholder Fairness in Recommendation Systems Using Distance Correlation
R21,False,10.1109/rivf68649.2025.11365119,953,A Parallel UE/gNB Emulator for Large-Scale Validation of 5G Core Networks
R22,False,10.1109/rivf68649.2025.11365179,785,Introducing Multi-Level Modulation for Improving Spectral Efficiency in Modified Walsh-Hadamard Code Division Multiplexing
R23,False,10.1109/rivf68649.2025.11365066,1005,Array Pattern Synthesis Using Adaptive Gradient Method for RIS-Aided Wireless Networks
R24,False,10.1109/rivf68649.2025.11365219,989,Real-Time Multi-Behavior Driver Monitoring with a Single-Stage Detector
R25,False,10.1109/rivf68649.2025.11365050,1076,ViMER-Tri: A Trimodal Vietnamese Emotion Recognition System with Adaptive Missing-Modality Fusion
R26,False,10.1109/rivf68649.2025.11365129,1752,EvoSIEM: Detecting and Generating SIEM Rule Evasion Behaviors in Network Systems
R27,False,10.1109/rivf68649.2025.11365106,1430,A Knowledge Distillation Approach for Diffusion-Based Generative Skin Lesion Segmentation
R28,False,10.1109/rivf68649.2025.11365054,1225,GPTViet: An Open-Source Vietnamese Foundation Model from Pretraining to Domain Specialization
R29,False,10.1109/rivf68649.2025.11365220,1311,Debate-to-Decide: A Deliberative Multi-Agent Framework for Fair and Explainable Student Credit Scoring
