id,novelty,rigor,evidence,reproducibility,clarity,significance,overall,verdict,note
R01,4,3,2,4,6,4,4,reject,"Competent system description but no quantitative evaluation, baselines, or user study to support the educational-alignment claims."
R02,4,3,2,3,5,3,4,reject,"Vaguely specified energy-based sampling method with no named datasets, baselines, or quantitative results."
R03,5,5,6,5,6,5,5,"major revision","Promising small-multimodal results but unnamed datasets, unreported splits, and possibly unequal baseline fine-tuning need disclosure."
R04,5,5,5,4,6,4,5,"major revision","Reasonable EEG decoding pipeline but the validation protocol (within- vs cross-session) is unstated and typically dominates EEG accuracy claims."
R05,5,4,5,4,6,5,5,"major revision","Strong reported gains but the near-halving of the WeakTR baseline performance suggests possible baseline misconfiguration that must be addressed."
R06,3,3,2,2,6,3,3,reject,"A narrative literature-based position piece with no empirical validation of the proposed CRM framework."
R07,6,6,5,5,7,5,6,accept,"Well-isolated algorithmic fix for community fragmentation in dynamic graphs with consistent modularity gains on synthetic and real networks."
R08,6,6,6,5,7,6,6,accept,"Clean hybridization of NES gradient estimation with evolutionary patch search showing query-efficiency gains on standard benchmarks."
R09,5,4,4,5,7,5,5,"major revision","Locally relevant study but LLM-judge circularity requires human expert validation to support the reliability claim."
R10,4,5,4,4,6,4,5,"major revision","Sound evaluation design on standard benchmarks but hedged number-free claims in a saturated area weaken the contribution."
R11,5,5,6,5,6,5,5,"major revision","Concrete multi-component fusion results but crypto backtests need leakage and walk-forward controls before the accuracy claims hold."
R12,4,4,4,4,6,4,4,reject,"Impressive integration effort but only qualitative detection claims without detection accuracy or mAP at the stated operating altitude."
R13,3,4,5,4,6,4,4,reject,"Competent but well-trodden smart-parking integration with limited novelty beyond assembling existing components."
R14,4,6,4,5,7,4,5,"major revision","Carefully validated CFD study but quantitative drag and lift coefficients under restricted conditions are needed to support the conclusions."
R15,4,3,4,2,6,4,4,reject,"Strong nDCG claims are unverifiable because the evaluation corpus and protocol are never identified."
R16,3,5,5,5,6,3,4,reject,"Textbook TF-IDF plus classical classifiers on Spark; execution is clean but the study breaks no new ground."
R17,5,4,4,5,6,5,4,reject,"Interesting Vietnamese GraphRAG system but ROUGE cannot substantiate the central faithfulness and groundedness claims."
R18,5,6,6,5,7,5,6,accept,"Well-specified complementary ensemble with task-aware training on a standard benchmark and honest efficiency gains."
R19,5,5,6,5,6,5,5,"major revision","Well-scoped content-moderation detector with concrete gains but an 836-image dataset raises generalization concerns."
R20,6,5,5,5,6,6,5,"major revision","Principled multi-stakeholder fairness formulation but a single dataset and unreported effect sizes limit the evidence."
R21,6,6,5,5,5,6,6,accept,"Practical large-scale 5G core stress-testing tool with demonstrated discovery of real vulnerabilities in Free5GC and Open5GS."
R22,5,6,5,5,6,4,5,"major revision","Focused well-reasoned modulation study but quantitative BER comparisons are needed to substantiate the 4-PAM advantage."
R23,4,4,4,4,6,4,4,reject,"Numerical-only RIS synthesis with no comparisons against existing phase-optimization baselines."
R24,4,5,5,3,7,5,5,"major revision","Practical real-time system with honest error analysis but an in-house dataset limits independent verification."
R25,6,6,6,6,7,6,7,accept,"Carefully constructed first Vietnamese trimodal emotion benchmark with speaker-disjoint splits, agreement statistics, and controlled ablations."
R26,6,6,6,5,7,6,6,accept,"Novel automated SIEM rule-evasion pipeline with concrete validity rates and clear defensive utility."
R27,6,6,6,7,7,6,6,accept,"Effective edge-focused distillation of diffusion-based segmentation with large parameter savings on two standard benchmarks and released code."
R28,6,5,5,7,6,7,6,accept,"High-impact open Vietnamese foundation-model family though evaluation protocol and contamination controls need fuller disclosure."
R29,5,4,4,5,6,5,4,reject,"Attractive deliberation framework undermined by validation solely on CTGAN-synthetic data so accuracy and fairness claims do not transfer."
R30,5,5,5,4,6,5,5,"major revision","Thoughtful multimodal analysis with nuanced findings but the evaluation dataset is unnamed and gains vary unstably across settings."
R31,4,3,3,3,5,4,3,reject,"Vague architecture description with no named datasets or quantitative comparisons to support the superiority claims."
R32,3,5,5,5,6,4,4,reject,"Solid Pi 5 deployment engineering but a routine YOLO application that mixes accuracy and mAP metrics without novel insight."
R33,6,6,6,6,6,6,6,accept,"Rigorous provenance-guarded Vietnamese legal RAG benchmark whose citation-level unfaithfulness findings are honest and methodologically careful."
R34,5,6,5,5,6,5,5,"major revision","Well-controlled NAS study on a public adversarial benchmark but headline numbers and effect sizes are unreported."
R35,2,4,3,4,5,3,3,reject,"GA-tuned PID for load frequency control is decades-old methodology with simulation-only unquantified results."
R36,5,5,6,4,6,5,5,"major revision","Useful few-shot industrial inspection results with realistic numbers but private data and moderate mAP limit impact."
