id,novelty,rigor,evidence,reproducibility,clarity,significance,overall,verdict,fatal_flaw
E01,2,4,4,5,7,2,3,reject,"Trivial folklore confirmation on just 23 Java apps; obvious conclusions lacking significance."
E02,4,3,3,2,5,4,3,reject,"Lacks evaluation of real-world oracle correctness and fails to address LLM hallucination in smart contracts."
E03,2,1,1,1,4,2,2,reject,"Preliminary PhD proposal lacking empirical validation, methodology, or results."
E04,2,2,2,3,6,2,2,reject,"Anecdotal experience report from a single course with no rigorous experimental design."
E05,3,2,1,1,4,3,2,reject,"Truncated abstract completely lacking methodology details, baselines, or evaluation."
E06,1,1,1,1,5,1,1,reject,"Extended abstract for a tutorial with zero original research or empirical findings."
E07,2,3,2,4,6,3,3,reject,"Superficial literature review mapping common-sense factors without empirical validation."
E08,3,3,3,2,5,3,3,reject,"Survey study lacking methodology details and suffering from self-reporting bias."
E09,2,2,1,2,5,2,2,reject,"High-level conceptual mapping lacking concrete empirical validation or metrics."
E10,3,2,2,1,5,3,2,reject,"Preliminary study lacking rigorous experimental setup or baseline comparisons."
E11,3,3,2,2,5,3,3,reject,"Inadequate sample size of only 4 cases lacking statistical power or generalizability."
E12,2,2,1,2,4,2,2,reject,"Conceptual methodology proposal completely lacking real-world empirical execution."
E13,2,2,1,2,5,2,2,reject,"Single-company case study lacking empirical evaluation of effectiveness in production."
E14,3,2,2,3,6,3,2,reject,"Fundamentally flawed experimental design comparing groups under unequal stress conditions."
E15,2,1,1,1,4,2,1,reject,"Purely conceptual framework with no implementation or empirical evidence."
E16,2,1,1,1,4,2,1,reject,"Early-stage PhD proposal lacking methodology, results, or evaluation."
E17,3,3,2,3,5,2,3,reject,"Small-scale subjective survey without a concrete technical solution."
E18,3,1,1,1,2,2,1,reject,"Truncated abstract lacking methodology, dataset details, or findings."
E19,2,4,3,4,6,3,3,reject,"Routine systematic literature review offering no novel technical contributions."
E20,3,2,2,2,4,3,2,reject,"Vague framework based on a single dataset with no rigorous evaluation metrics."
E21,5,5,4,5,6,4,4,reject,"Extremely narrow scope with a statistically insignificant benchmark of 64 questions."
E22,1,1,1,1,2,1,1,reject,"Incomplete abstract for a systematic mapping study lacking technical novelty."
E23,2,2,1,2,5,2,2,reject,"Purely conceptual review lacking empirical data or original contributions."
E24,3,2,1,1,3,2,2,reject,"Truncated abstract relying on subjective developer opinions without evaluating code correctness."
E25,2,2,2,2,5,2,2,reject,"Single-platform case study lacking rigorous comparative evaluation."
E26,2,1,1,1,3,2,1,reject,"Abstract ends abruptly without detailing the longitudinal study methodology or results."
E27,4,3,2,2,5,3,3,reject,"Lacks empirical evidence on benchmark datasets and baseline comparisons."
E28,2,4,4,4,6,3,3,reject,"Routine application of standard ML models to an existing dataset without algorithmic novelty."
E29,2,1,1,1,3,2,1,reject,"Truncated abstract lacking details on methodology, participant count, and findings."
E30,4,3,3,2,6,4,3,reject,"Single-company evaluation with no public dataset severely undermines reproducibility."
E31,3,2,1,2,5,3,2,reject,"Vague framework proposal lacking quantitative results or benchmark details."
E32,4,4,3,4,6,3,3,reject,"Shallow analysis of only 30 projects conflating expected platform variances with instability."
E33,2,2,2,3,5,2,2,reject,"Extremely small sample size of 12 interviews and 18 surveys making findings non-generalizable."
E34,3,2,1,2,5,2,2,reject,"Conceptual persona approach lacking empirical validation or evidence of improved security."
E35,3,2,1,2,3,2,2,reject,"Truncated abstract failing to detail the method, dataset size, or label noise validation."
E36,4,2,2,3,5,3,2,reject,"Unrealistically high F1-scores up to 99.16% strongly indicate data leakage and overfitting."
E37,3,3,2,4,6,3,3,reject,"Primarily a mathematical illustration lacking robust large-scale evaluation on real datasets."
E38,3,1,1,1,3,2,1,reject,"Truncated abstract lacking benchmark details, methodology, or baseline comparisons."
E39,4,2,2,3,5,2,2,reject,"Highly questionable construct validity conflating motivation with working at diverse hours."
E40,2,3,3,4,6,2,3,reject,"Trivial evaluation on Leetcode toy problems with high risk of LLM training data contamination."
E41,2,1,1,1,4,2,1,reject,"PhD project proposal lacking actual framework implementation or empirical results."
E42,3,3,2,3,4,3,3,reject,"Vague empirical validation that fails to quantify improvements or provide concrete data."
E43,2,1,1,1,5,2,1,reject,"Doctoral proposal outlining future research without completed studies or empirical findings."
E44,3,4,4,5,6,3,3,reject,"Incremental extension of known gadgets without contributing novel detection methodologies."
E45,4,4,3,4,6,3,3,reject,"Niche benchmark on TikZ scripts with subjective visual evaluation that fails to generalize."
E46,4,3,3,2,5,3,3,reject,"Intrusive methodology requiring eye-tracking that is unlikely to generalize to real-world development."
E47,2,1,1,1,4,1,1,reject,"Generic architecture proposal completely lacking implementation details and quantitative evaluation."
E48,2,3,3,4,5,2,2,reject,"Extremely low MCC of 0.44 indicates the proposed classification models are ineffective."
E49,2,2,2,3,6,2,2,reject,"Inadequate sample size of 34 participants yielding trivial non-generalizable conclusions."
