id,novelty,rigor,evidence,reproducibility,clarity,significance,overall,verdict,note
R01,4,5,3,6,6,5,4,major revision,"Competent RAG-chatbot system description, but no quantitative evaluation results are reported."
R02,5,4,3,3,5,4,4,major revision,"Energy-based sampling idea is plausible but results are asserted without datasets or numbers."
R03,5,6,7,5,6,6,6,accept,"Large accuracy/F1 gains over single-modality baselines, though the paired dataset is under-specified."
R04,5,6,6,5,6,5,5,accept,"Solid 84% four-class overt-attention decoding, limited to one recording paradigm."
R05,6,6,7,5,6,6,6,accept,"Large mIoU improvement over weakly supervised baselines on BraTS 2023, but no code mentioned."
R06,3,3,2,3,5,3,3,reject,"Literature-analysis proposal with no implemented system, data, or evaluation."
R07,5,6,5,5,6,5,5,accept,"Focused incremental refinement of DF-Louvain addressing community fragmentation with sound experiments."
R08,6,6,6,5,6,6,6,accept,"Well-scoped hybrid of NES gradient estimation and evolutionary patch search on two benchmarks."
R09,6,5,5,6,6,6,6,accept,"Replicable LLM-ensemble syllabus assessment, though LLM-as-judge circularity needs scrutiny."
R10,5,6,6,6,6,6,6,accept,"Competent transformer anomaly-detection design with ablations across three public benchmarks."
R11,5,6,6,6,6,5,6,accept,"Detailed multi-model fusion pipeline with uncertainty gating; base accuracy of 74.3% is modest."
R12,5,5,4,4,6,6,4,major revision,"Interesting custom-UAV SAR system, but no quantitative detection accuracy is reported."
R13,3,5,6,5,6,5,4,major revision,"Common YOLO+IoT parking stack whose near-perfect accuracy claims lack evaluation context."
R14,4,7,6,6,6,5,4,major revision,"Competent CFD study validated against wind-tunnel data, but off-CS-topic with no algorithmic contribution."
R15,5,5,6,4,6,6,6,accept,"Large nDCG@5 gains over baselines, yet the SOTA claim rests on an unverifiable private corpus."
R16,3,6,7,6,6,5,6,accept,"Clean Spark scaling study on a real Vietnamese news corpus with clear model-selection guidance."
R17,6,5,5,5,6,6,6,accept,"GraphRAG grounding for Vietnamese product reviews is timely, but ROUGE-only evaluation is a weakness."
R18,5,7,7,6,6,7,7,accept,"Well-executed MAE+CoAtNet ensemble on ChestX-ray14 with a parameter-efficiency advantage."
R19,6,5,5,5,6,6,6,accept,"Domain-novel content-moderation detection task, though the 836-image dataset is small."
R20,6,6,6,5,6,6,6,accept,"Principled multi-stakeholder fairness formulation using partial distance correlation, solidly evaluated."
R21,7,6,6,6,6,7,7,accept,"Valuable parallel UE/gNB stress emulator that uncovered real vulnerabilities in Free5GC and Open5GS."
R22,5,6,5,5,5,4,5,accept,"Niche but sound simulation analysis showing 4-level PAM superiority for MWHCDM under rotor blockage."
R23,5,5,5,6,5,5,5,accept,"Reasonable AdaGrad-inspired RIS beam synthesis; numerical results only summarily described."
R24,4,6,6,5,6,6,5,accept,"Practical single-stage driver monitor with structured error analysis, but in-house data only."
R25,7,7,7,7,7,7,7,accept,"First synchronized Vietnamese trimodal emotion benchmark with inter-annotator agreement, disjoint splits, and robust ablations."
R26,7,6,6,6,6,7,7,accept,"Novel SIEM-evasion generation-to-LLM-finetuning loop with concrete validity rates and defense value."
R27,6,7,7,8,7,7,7,accept,"Boundary-aware distillation compresses diffusion segmentation by 88.9% with released code and two benchmarks."
R28,7,6,7,7,7,8,7,accept,"Large open Vietnamese foundation-model series, but the abstract omits concrete benchmark numbers."
R29,7,5,5,6,7,6,6,accept,"Attractive glass-box multi-agent credit scoring, yet evaluated only on synthetic CTGAN data."
R30,5,6,6,6,6,6,6,accept,"Honest modality-ablation study reporting cases where added imagery can hurt performance."
R31,5,4,4,4,5,5,4,major revision,"Claims to surpass small-object detectors without reporting any quantitative results."
R32,3,5,6,5,6,5,4,major revision,"Standard YOLOv9 retraining and edge deployment; incremental over the cited reference study."
R33,7,8,7,8,8,7,7,accept,"Provenance-guarded RAG benchmark with honest negative citation findings and strict reproducibility discipline."
R34,6,6,6,6,6,6,6,accept,"Timely evaluation of training-free metrics for robust evolutionary NAS on a dedicated adversarial benchmark."
R35,3,5,5,5,5,4,4,major revision,"Textbook GA-tuned PID on a standard testbed with simulation-only evidence and no novelty."
R36,6,6,7,5,6,6,6,accept,"Thorough few-shot defect-inspection study with detailed per-view mAP results and Grad-CAM analysis."
R37,4,6,6,6,5,5,5,accept,"Systematic five-dataset comparison of DL architectures tuned by one metaheuristic; incremental but reproducible."
R38,7,7,7,8,7,6,7,accept,"First public pixel-level silkworm disease dataset with a strong segmentation baseline and released implementation."
R39,6,6,6,7,6,6,6,accept,"Reproducible humanoid HRI testbed with quantified positioning error and per-module accuracies."
R40,6,6,6,7,6,6,6,accept,"Novel dual-track urban-perception framework with statistically significant correlations and released code."
R41,6,6,6,8,7,6,6,accept,"First two-tiered Vietnamese TikTok engagement benchmark with large scale and public release."
R42,7,7,7,6,7,7,7,accept,"First attribution-stealth adversarial attack on NIDS with new metrics and honest context-dependence findings."
R43,7,6,6,7,6,7,7,accept,"Claims first RL fine-tuning of LDMs on a text-to-image dataset; novel hybrid strategy with released code."
R44,4,5,5,4,3,4,4,major revision,"Technical contribution reduced by near-incoherent writing and unclear comparison methodology."
R45,6,5,5,6,6,6,4,major revision,"Interesting ViSoBERT trend pipeline, but reported F1 of 0.3367 contradicts the 93.56% precision headline."
R46,6,6,5,6,6,6,5,accept,"Sound digital-twin beam-selection framework, though improvements are only qualitatively stated."
R47,5,7,7,6,6,5,6,accept,"Well-validated 1-bit RIS design backed by both full-wave simulations and theoretical beamforming models."
R48,5,4,3,4,4,5,4,major revision,"Work-in-progress abstract: three Set-B strategies described but no results are reported."
R49,3,4,5,5,5,5,4,major revision,"Generic pre-trained CNN comparison whose 100% test accuracy signals possible evaluation issues."
